,Article,Link
29,"Is medicine ready for AI? Doctors, computer scientists, and policymakers are cautiously optimistic ",https://news.mit.edu/2023/is-medicine-ready-for-ai-0517
30,A better way to study ocean currents,https://news.mit.edu/2023/new-machine-learning-model-ocean-currents-0517
31,An AI challenge only humans can solve,https://news.mit.edu/2023/power-and-progress-book-ai-inequality-0517
32,Joining the battle against health care bias,https://news.mit.edu/2023/joining-battle-against-health-care-bias-leo-anthony-celi-0516
33,3 Questions: Jacob Andreas on large language models ,https://news.mit.edu/2023/3-questions-jacob-andreas-large-language-models-0511
34,Study: AI models fail to reproduce human judgements about rule violations,https://news.mit.edu/2023/study-ai-models-harsher-judgements-0510
35,Success at the intersection of technology and finance ,https://news.mit.edu/2023/success-intersection-technology-and-finance-0510
36,Inaugural J-WAFS Grand Challenge aims to develop enhanced crop variants and move them from lab to land,https://news.mit.edu/2023/inaugural-j-wafs-grand-challenge-aims-develop-enhanced-crop-variants-0510
37,Using reflections to see the world from new points of view,https://news.mit.edu/2023/using-reflections-shiny-objects-camera-0510
38,Training machines to learn more like humans do,https://news.mit.edu/2023/training-machines-learn-like-humans-0509
39,"After Amazon, an ambition to accelerate American manufacturing",https://news.mit.edu/2023/after-amazon-ambition-accelerate-american-manufacturing-0505
40,Researchers create a tool for accurately simulating complex systems,https://news.mit.edu/2023/researchers-create-tool-accurately-simulating-complex-systems-0504
41,Researchers develop novel AI-based estimator for manufacturing medicine,https://news.mit.edu/2023/ai-based-estimator-manufacturing-medicine-0503
42,Deep-learning system explores materials’ interiors from the outside,https://news.mit.edu/2023/deep-learning-system-explores-interiors-0428
43,Making property assessments as simple as snapping a picture,https://news.mit.edu/2023/making-property-assessments-simple-from-photos-0421
44,AI system can generate novel proteins that meet structural design targets,https://news.mit.edu/2023/ai-system-can-generate-novel-proteins-structural-design-0420
45,Drones navigate unseen environments with liquid neural networks ,https://news.mit.edu/2023/drones-navigate-unseen-environments-liquid-neural-networks-0419
46,MIT CSAIL researchers discuss frontiers of generative AI ,https://news.mit.edu/2023/mit-csail-researchers-discuss-frontiers-generative-ai-0412
47,Understanding our place in the universe,https://news.mit.edu/2023/understanding-our-place-universe-brian-nord-0412
48,A four-legged robotic system for playing soccer on various terrains,https://news.mit.edu/2023/legged-robotic-system-playing-soccer-various-terrains-0403
49,Speeding up drug discovery with diffusion generative models,https://news.mit.edu/2023/speeding-drug-discovery-with-diffusion-generative-models-diffdock-0331
50,A method for designing neural networks optimally suited for certain tasks,https://news.mit.edu/2023/method-designing-neural-networks-optimally-suited-certain-tasks-0330
51,Bacterial injection system delivers proteins in mice and human cells,https://news.mit.edu/2023/bacterial-injection-system-delivers-proteins-mice-human-cells-0329
52,Learning to grow machine-learning models,https://news.mit.edu/2023/new-technique-machine-learning-models-0322
53,Detailed images from space offer clearer picture of drought effects on plants ,https://news.mit.edu/2023/detailed-images-space-offer-clearer-picture-drought-effects-plants-0320
54,Mining the right transition metals in a vast chemical space,https://news.mit.edu/2023/mining-right-transition-metals-vast-chemical-space-0313
55,New method accelerates data retrieval in huge databases,https://news.mit.edu/2023/new-method-hash-function-online-databases-0313
56,MIT professor to Congress: “We are at an inflection point” with AI,https://news.mit.edu/2023/mit-congress-inflection-point-ai-0310
57,Matthew Kearney: Bringing AI and philosophy into dialogue,https://news.mit.edu/2023/matthew-kearney-ai-philosophy-dialogue-0310
58,Creating a versatile vaccine to take on Covid-19 in its many guises  ,https://news.mit.edu/2023/creating-versatile-vaccine-take-on-covid-19-0309
59,New insights into training dynamics of deep classifiers,https://news.mit.edu/2023/training-dynamics-deep-classifiers-0308
60,Large language models are biased. Can logic help save them? ,https://news.mit.edu/2023/large-language-models-are-biased-can-logic-help-save-them-0303
61,Robot armies duke it out in Battlecode’s epic on-screen battles,https://news.mit.edu/2023/robot-armies-battlecode-epic-screen-battles-0303
62,Integrating humans with AI in structural design,https://news.mit.edu/2023/integrating-humans-ai-structural-design-0302
63,MIT-Takeda Program heads into fourth year with crop of 10 new projects,https://news.mit.edu/2023/mit-takeda-program-fourth-year-projects-0227
64,Efficient technique improves machine-learning models’ reliability,https://news.mit.edu/2023/improving-machine-learning-models-reliability-0213
65,Helping companies deploy AI models more responsibly,https://news.mit.edu/2023/verta-helping-companies-deploy-ai-models-0210
66,3 Questions: Leo Anthony Celi on ChatGPT and medicine,https://news.mit.edu/2023/3-questions-leo-anthony-celi-chatgpt-and-medicine-0209
67,Solving a machine-learning mystery,https://news.mit.edu/2023/large-language-models-in-context-learning-0207
68,Automating the math for decision-making under uncertainty,https://news.mit.edu/2023/automating-math-decision-making-under-uncertainty-0206
69,MIT Solve announces 2023 global challenges and Indigenous Communities Fellowship,https://news.mit.edu/2023/mit-solve-announces-global-challenges-indigenous-communities-fellowship-0201
70,Putting clear bounds on uncertainty,https://news.mit.edu/2023/putting-clear-bounds-uncertainty-0123
71,MIT researchers develop an AI model that can detect future lung cancer risk,https://news.mit.edu/2023/ai-model-can-detect-future-lung-cancer-0120
72,Gaining real-world industry experience through Break Through Tech AI at MIT,https://news.mit.edu/2023/break-through-tech-ai-mit-0118
73,2022-23 Takeda Fellows: Leveraging AI to positively impact human health,https://news.mit.edu/2023/takeda-fellows-leveraging-ai-positively-impact-human-health-0112
74,Engineering in harmony,https://news.mit.edu/2023/frederick-ajisafe-music-aerospace-engineering-0112
75,Program teaches US Air Force personnel the fundamentals of AI,https://news.mit.edu/2023/ai-training-program-us-air-force-0111
76,Unpacking the “black box” to build better AI models,https://news.mit.edu/2023/stefanie-jegelka-machine-learning-0108
77,Simulating discrimination in virtual reality,https://news.mit.edu/2023/simulating-discrimination-virtual-reality-0105
78,Strengthening electron-triggered light emission,https://news.mit.edu/2023/electron-triggered-light-emission-0104
79,Cognitive scientists develop new model explaining difficulty in language comprehension,https://news.mit.edu/2022/cognitive-scientists-develop-new-model-explaining-difficulty-language-comprehension-1222
80,Subtle biases in AI can influence emergency decisions,https://news.mit.edu/2022/when-subtle-biases-ai-influence-emergency-decisions-1216
81,Machine learning and the arts: A creative continuum,https://news.mit.edu/2022/machine-learning-and-arts-creative-continuum-1214
82,Meet the 2022-23 Accenture Fellows,https://news.mit.edu/2022/meet-2022-23-accenture-fellows-1209
83,Pursuing a practical approach to research,https://news.mit.edu/2022/pursuing-practical-approach-research-1208
84,Large language models help decipher clinical notes ,https://news.mit.edu/2022/large-language-models-help-decipher-clinical-notes-1201
85,Ushering in a new era of computing,https://news.mit.edu/2022/ushering-new-era-computing-dan-huttenlocher-1130
86,Busy GPUs: Sampling and pipelining method speeds up deep learning on large graphs,https://news.mit.edu/2022/sampling-pipelining-method-speeds-deep-learning-large-graphs-1129
87,Breaking the scaling limits of analog computing,https://news.mit.edu/2022/scaling-analog-optical-computing-1129
88,Teresa Gao named 2024 Mitchell Scholar,https://news.mit.edu/2022/teresa-gao-named-2024-mitchell-scholar-1123
89,A simpler path to better computer vision,https://news.mit.edu/2022/image-programs-data-training-1123
90,A far-sighted approach to machine learning,https://news.mit.edu/2022/multiagent-machine-learning-ai-1123
91,Solving brain dynamics gives rise to flexible machine-learning models ,https://news.mit.edu/2022/solving-brain-dynamics-gives-rise-flexible-machine-learning-models-1115
92,Ensuring AI works with the right dose of curiosity,https://news.mit.edu/2022/ensuring-ai-works-with-right-dose-curiosity-1110
93,A whole new world of learning via MIT OpenCourseWare videos,https://news.mit.edu/2022/new-world-learning-mit-ocw-emmanuel-kasigazi-1107
94,Video on the record,https://news.mit.edu/2022/video-on-the-record-1104
95,"In machine learning, synthetic data can offer real performance improvements",https://news.mit.edu/2022/synthetic-data-ai-improvements-1103
96,Study urges caution when comparing neural networks to the brain,https://news.mit.edu/2022/neural-networks-brain-function-1102
97,Machine learning facilitates “turbulence tracking” in fusion reactors,https://news.mit.edu/2022/fusion-machine-learning-turbulence-1101
98,Using sound to model the world,https://news.mit.edu/2022/sound-model-ai-1101
99,3 Questions: How AI image generators could help robots ,https://news.mit.edu/2022/how-ai-image-generators-could-help-robots-yilun-du-1027
100,Deep learning with light,https://news.mit.edu/2022/optics-deep-learning-computations-1020
101,The science of strength: How data analytics is transforming college basketball,https://news.mit.edu/2022/data-analytics-transforming-college-basketball-1017
102,Study finds the risks of sharing health care data are low,https://news.mit.edu/2022/patient-data-risks-low-1006
103,Learning on the edge,https://news.mit.edu/2022/machine-learning-edge-microcontroller-1004
104,Wiggling toward bio-inspired machine intelligence,https://news.mit.edu/2022/wiggling-toward-bio-inspired-machine-intelligence-juncal-arbelaiz-1002
105,Neurodegenerative disease can progress in newly identified patterns,https://news.mit.edu/2022/neurodegenerative-disease-can-progress-newly-identified-patterns-0927
106,"New program to support translational research in AI, data science, and machine learning",https://news.mit.edu/2022/new-program-support-translational-research-ai-data-science-machine-learning-0927
107,Q&A: Global challenges surrounding the deployment of AI,https://news.mit.edu/2022/qa-global-challenges-surrounding-deployment-ai-0926
108,Understanding reality through algorithms,https://news.mit.edu/2022/understanding-reality-through-algorithms-fernanda-de-la-torre-0925
109,In-home wireless device tracks disease progression in Parkinson’s patients,https://news.mit.edu/2022/home-wireless-parkinsons-progression-0921
110,Empowering Cambridge youth through data activism,https://news.mit.edu/2022/empowering-cambridge-youth-through-data-activism-0921
111,Protecting maternal health in Rwanda,https://news.mit.edu/2022/protecting-maternal-health-rwanda-0918
112,Computing for the health of the planet,https://news.mit.edu/2022/computing-health-planet-new-faculty-0913
113,AI system makes models like DALL-E 2 more creative ,https://news.mit.edu/2022/ai-system-makes-models-like-dall-e-2-more-creative-0908
114,Collaborative machine learning that preserves privacy,https://news.mit.edu/2022/collaborative-machine-learning-privacy-0907
115,Analyzing the potential of AlphaFold in drug discovery,https://news.mit.edu/2022/alphafold-potential-protein-drug-0906
116,Using machine learning to identify undiagnosable cancers,https://news.mit.edu/2022/using-machine-learning-identify-undiagnosable-cancers-0901
117,AI that can learn the patterns of human language,https://news.mit.edu/2022/ai-learn-patterns-language-0830
118,Taking a magnifying glass to data center operations,https://news.mit.edu/2022/taking-magnifying-glass-data-center-operations-0824
119,"Building better batteries, faster",https://news.mit.edu/2022/pablo-leon-battery-materials-0824
120,Artificial intelligence model can detect Parkinson’s from breathing patterns,https://news.mit.edu/2022/artificial-intelligence-can-detect-parkinsons-from-breathing-patterns-0822
121,New programmable materials can sense their own movements,https://news.mit.edu/2022/materials-sense-movements-0810
122,3 Questions: Amar Gupta on an integrated approach to enhanced health-care delivery,https://news.mit.edu/2022/3-questions-amar-gupta-integrated-approach-enhanced-health-care-delivery-0810
123,"Caspar Hare, Georgia Perakis named associate deans of Social and Ethical Responsibilities of Computing",https://news.mit.edu/2022/caspar-hare-georgia-perakis-associate-deans-social-ethical-responsibilities-0810
124,Leveraging computational tools to enhance product design,https://news.mit.edu/2022/jana-saadi-product-design-0810
125,Solving a longstanding conundrum in heat transfer,https://news.mit.edu/2022/solving-longstanding-conundrum-heat-transfer-0809
126,New algorithm aces university math course questions,https://news.mit.edu/2022/machine-learning-university-math-0803
127,Why it’s a problem that pulse oximeters don’t work as well on patients of color,https://news.mit.edu/2022/pulse-oximeters-dont-work-as-well-patients-of-color-0802
128,Using artificial intelligence to control digital manufacturing,https://news.mit.edu/2022/artificial-intelligence-3-d-printing-0802
129,"New hardware offers faster computation for artificial intelligence, with much less energy",https://news.mit.edu/2022/analog-deep-learning-ai-computing-0728
130,Explained: How to tell if artificial intelligence is working the way we want it to,https://news.mit.edu/2022/explained-how-tell-if-artificial-intelligence-working-way-we-want-0722
131,A technique to improve both fairness and accuracy in artificial intelligence,https://news.mit.edu/2022/fairness-accuracy-ai-models-0720
132,Teaching AI to ask clinical questions,https://news.mit.edu/2022/teaching-ai-ask-clinical-questions
133,Artificial intelligence model finds potential drug molecules a thousand times faster,https://news.mit.edu/2022/ai-model-finds-potentially-life-saving-drug-molecules-thousand-times-faster-0712
134,Smart textiles sense how their users are moving,https://news.mit.edu/2022/smart-textiles-sense-movement-0707
135,Startup lets doctors classify skin conditions with the snap of a picture,https://news.mit.edu/2022/piction-health-skin-app-0706
136,Building explainability into the components of machine-learning models,https://news.mit.edu/2022/explainability-machine-learning-0630
137,Exploring emerging topics in artificial intelligence policy,https://news.mit.edu/2022/exploring-emerging-topics-ai-policy-0628
138,Taking the guesswork out of dental care with artificial intelligence,https://news.mit.edu/2022/overjet-dental-artificial-intelligence-0624
139,Robots play with play dough ,https://news.mit.edu/2022/robots-play-play-dough-0623
140,Researchers release open-source photorealistic simulator for autonomous driving ,https://news.mit.edu/2022/researchers-release-open-source-photorealistic-simulator-autonomous-driving-0621
141,Seeing the whole from some of the parts,https://news.mit.edu/2022/seeing-whole-from-some-parts-0617
142,Artificial neural networks model face processing in autism,https://news.mit.edu/2022/artificial-neural-networks-model-face-processing-in-autism-0616
143,Engineers build LEGO-like artificial intelligence chip,https://news.mit.edu/2022/stackable-artificial-intelligence-chip-0613
144,Student-powered machine learning,https://news.mit.edu/2022/student-powered-machine-learning-0609
145,Collin Stultz named co-director and MIT lead of the Harvard-MIT Program in Health Sciences and Technology,https://news.mit.edu/2022/collin-stultz-named-co-director-mit-lead-hst-program-0607
146,Hallucinating to better text translation,https://news.mit.edu/2022/hallucinating-better-text-translation-0606
147,Inaugural Day of AI brings new digital literacy to classrooms worldwide,https://news.mit.edu/2022/day-ai-brings-digital-literacy-classrooms-0601
148,In bias we trust?,https://news.mit.edu/2022/machine-learning-bias-0601
149,Is diversity the key to collaboration? New AI research suggests so,https://news.mit.edu/2022/is-diversity-key-to-collaboration-0525
150,Early sound exposure in the womb shapes the auditory system,https://news.mit.edu/2022/prenatal-sound-womb-auditory-system-0525
151,President Guðni Thorlacius Jóhannesson of Iceland visits MIT,https://news.mit.edu/2022/gudni-thorlacius-johannesson-iceland-0524
152,Artificial intelligence predicts patients’ race from their medical images,https://news.mit.edu/2022/artificial-intelligence-predicts-patients-race-from-medical-images-0520
153,Living better with algorithms,https://news.mit.edu/2022/living-better-algorithms-sarah-cen-0518
154,Can artificial intelligence overcome the challenges of the health care system?,https://news.mit.edu/2022/can-artificial-intelligence-overcome-challenges-health-care-system-0517
155,"On the road to cleaner, greener, and faster driving",https://news.mit.edu/2022/ai-autonomous-driving-idle-0517
156,Technique protects privacy when making online recommendations,https://news.mit.edu/2022/privacy-online-recommendations-0512
157,Q&A: Chris Rackauckas on the equations at the heart of practically everything,https://news.mit.edu/2022/qa-chris-rackauckas-equations-heart-practically-everything-0509
158,Unpacking black-box models,https://news.mit.edu/2022/machine-learning-explainability-0505
159,"Artificial intelligence system learns concepts shared across video, audio, and text",https://news.mit.edu/2022/ai-video-audio-text-connections-0504
160,A one-up on motion capture,https://news.mit.edu/2022/one-motion-capture-neural-network-0429
161,Engineers use artificial intelligence to capture the complexity of breaking waves,https://news.mit.edu/2022/wave-model-ai-0429
162,How can we reduce the carbon footprint of global computing? ,https://news.mit.edu/2022/how-can-we-reduce-carbon-footprint-global-computing-0428
163,"Aging Brain Initiative awards fund five new ideas to study, fight neurodegeneration",https://news.mit.edu/2022/aging-brain-initiative-awards-fund-five-new-ideas-study-fight-neurodegeneration-0428
164,"Machine learning, harnessed to extreme computing, aids fusion energy development",https://news.mit.edu/2022/machine-learning-harnessed-extreme-computing-aids-fusion-energy-development-0427
165,A smarter way to develop new drugs,https://news.mit.edu/2022/ai-molecules-new-drugs-0426
166,Estimating the informativeness of data,https://news.mit.edu/2022/estimating-informativeness-data-0425
167,An easier way to teach robots new skills,https://news.mit.edu/2022/teach-pick-robots-new-task-0425
168,A new state of the art for unsupervised computer vision,https://news.mit.edu/2022/new-unsupervised-computer-vision-algorithm-stego-0421
169,Anticipating others’ behavior on the road,https://news.mit.edu/2022/machine-learning-anticipating-behavior-cars-0421
170,Learning to think critically about machine learning,https://news.mit.edu/2022/ethical-machine-learning-course-0415
171,Three from MIT awarded 2022 Paul and Daisy Soros Fellowships for New Americans,https://news.mit.edu/2022/three-mit-students-awarded-paul-daisy-soros-fellowships-new-americans-0414
172,MIT Schwarzman College of Computing unveils Break Through Tech AI,https://news.mit.edu/2022/mit-schwarzman-college-computing-unveils-break-through-tech-ai-0413
173,Engineers enlist AI to help scale up advanced solar cell manufacturing,https://news.mit.edu/2022/ai-perovskite-solar-manufacturing-0413
174,MIT’s FutureMakers programs help kids get their minds around — and hands on — AI,https://news.mit.edu/2022/futuremakers-programs-kids-get-their-minds-around-and-hands-ai-0412
175,An optimized solution for face recognition,https://news.mit.edu/2022/optimized-solution-face-recognition-0406
176,Does this artificial intelligence think like a human?,https://news.mit.edu/2022/does-this-artificial-intelligence-think-human-0406
177,Robots dress humans without the full picture,https://news.mit.edu/2022/robots-dress-humans-without-full-picture-0405
178,School of Engineering welcomes Thomas Tull as visiting innovation scholar,https://news.mit.edu/2022/school-engineering-welcomes-thomas-tull-visiting-innovation-scholar-0404
179,Dan Huttenlocher ponders our human future in an age of artificial intelligence,https://news.mit.edu/2022/huttenlocher-age-of-ai-0403
180,Generating new molecules with graph grammar,https://news.mit.edu/2022/generating-new-molecules-with-graph-grammar-0401
181,Featured video: L. Rafael Reif on the power of education,https://news.mit.edu/2022/featured-video-mit-president-l-rafael-reif-power-of-education-0331
182,Solving the challenges of robotic pizza-making,https://news.mit.edu/2022/robotic-deformable-object-0331
183,Q&A: Alberto Rodriguez on teaching a robot to find your keys,https://news.mit.edu/2022/qa-alberto-rodriguez-teaching-robot-find-your-keys-pile-clutter-0329
184,New program bolsters innovation in next-generation artificial intelligence hardware ,https://news.mit.edu/2022/new-program-bolsters-innovation-next-generation-artificial-intelligence-hardware-0329
185,Security tool guarantees privacy in surveillance footage,https://news.mit.edu/2022/privid-security-tool-guarantees-privacy-surveillance-footage-0328
186,3 Questions: How the MIT mini cheetah learns to run,https://news.mit.edu/2022/3-questions-how-mit-mini-cheetah-learns-run-fast-0317
187,Handheld surgical robot can help stem fatal blood loss,https://news.mit.edu/2022/handheld-surgical-robot-can-help-stem-fatal-blood-loss-0317
188,How artificial intelligence can help combat systemic racism,https://news.mit.edu/2022/how-ai-can-help-combat-systemic-racism-0316
189,Learning to fly,https://news.mit.edu/2022/learning-fly-andrea-henshall-0316
190,"When it comes to AI, can we ditch the datasets?",https://news.mit.edu/2022/synthetic-datasets-ai-image-classification-0315
191,Computational modeling guides development of new materials,https://news.mit.edu/2022/metal-oxide-frameworks-model-0311
192,Unlocking new doors to artificial intelligence,https://news.mit.edu/2022/unlocking-new-doors-artificial-intelligence-0304
193,3 Questions: Fotini Christia on racial equity and data science,https://news.mit.edu/2022/3-questions-fotini-christia-racial-equity-and-data-science-0303
194,A new resource for teaching responsible technology development,https://news.mit.edu/2022/new-resource-teaching-responsible-technology-development-0302
195,The benefits of peripheral vision for machines,https://news.mit.edu/2022/machine-peripheral-vision-0302
196,Study examines how machine learning boosts manufacturing,https://news.mit.edu/2022/study-examines-how-machine-learning-boosts-manufacturing-0301
197,Injecting fairness into machine-learning models,https://news.mit.edu/2022/unbias-machine-learning-0301
198,Using artificial intelligence to find anomalies hiding in massive datasets,https://news.mit.edu/2022/artificial-intelligence-anomalies-data-0225
199,Deep-learning technique predicts clinical treatment outcomes,https://news.mit.edu/2022/deep-learning-technique-predicts-clinical-treatment-outcomes-0224
200,More sensitive X-ray imaging ,https://news.mit.edu/2022/scintillator-x-ray-imaging-0224
201,Can machine-learning models overcome biased datasets?,https://news.mit.edu/2022/machine-learning-biased-data-0221
202,Toward a stronger defense of personal data,https://news.mit.edu/2022/application-specific-integrated-circuit-iot-chip-0218
203,Research advances technology of AI assistance for anesthesiologists,https://news.mit.edu/2022/research-advances-technology-ai-assistance-anesthesiologists-0214
204,An explorer in the sprawling universe of possible chemical combinations,https://news.mit.edu/2022/heather-kulik-chemical-materials-0206
205,The downside of machine learning in health care,https://news.mit.edu/2022/marzyeh-ghassemi-explores-downside-machine-learning-health-care-0201
206,2021-22 Takeda Fellows: Leaning on AI to advance medicine for humans,https://news.mit.edu/2022/takeda-fellows-leaning-ai-advance-medicine-0201
207,Artificial intelligence system rapidly predicts how two proteins will attach,https://news.mit.edu/2022/ai-predicts-protein-docking-0201
208,Where did that sound come from?,https://news.mit.edu/2022/where-sound-come-from-model-0127
209,Demystifying machine-learning systems,https://news.mit.edu/2022/explainable-machine-learning-0127
210,Deploying machine learning to improve mental health,https://news.mit.edu/2022/deploying-machine-learning-improve-mental-health-rosalind-picard-0126
211,Cynthia Breazeal named dean for digital learning at MIT,https://news.mit.edu/2022/cynthia-breazeal-named-dean-digital-learning-mit-0126
212,3 Questions: Anuradha Annaswamy on building smart infrastructures,https://news.mit.edu/2022/3q-anuradha-annaswamy-building-smart-infrastructures-0124
213,Computing for ocean environments,https://news.mit.edu/2022/computing-ocean-environments-0121
214,Seeing into the future: Personalized cancer screening with artificial intelligence,https://news.mit.edu/2022/seeing-future-personalized-cancer-screening-artificial-intelligence-0121
215,Scientists make first detection of exotic “X” particles in quark-gluon plasma,https://news.mit.edu/2022/x-particles-quark-gluon-plasma-detection-0121
216,When should someone trust an AI assistant’s predictions?,https://news.mit.edu/2022/ai-predictions-human-trust-0119
217,How well do explanation methods for machine-learning models work?,https://news.mit.edu/2022/test-machine-learning-models-work-0118
218,"“Hey, Alexa! Are you trustworthy?”",https://news.mit.edu/2022/hey-alexa-are-you-trustworthy-0114
219,"Q&A: Dolapo Adedokun on computer technology, Ireland, and all that jazz",https://news.mit.edu/2022/qa-adedolapo-adedokun-computer-technology-ireland-all-that-jazz-0111
220,The promise and pitfalls of artificial intelligence explored at TEDxMIT event,https://news.mit.edu/2022/promise-pitfalls-artificial-intelligence-tedxmit-0111
221,Physics and the machine-learning “black box”,https://news.mit.edu/2022/physics-and-machine-learning-black-box-0110
222,Meet the 2021-22 Accenture Fellows,https://news.mit.edu/2022/meet-2021-22-accenture-fellows-0104
223,Perfecting pitch perception,https://news.mit.edu/2021/perfecting-pitch-perception-1217
224,"Characters for good, created by artificial intelligence",https://news.mit.edu/2021/ai-generated-characters-for-good-1216
225,Q&A: Cathy Wu on developing algorithms to safely integrate robots into our world,https://news.mit.edu/2021/qa-cathy-wu-developing-algorithms-safely-integrate-robots-our-world-1216
226,Nonsense can make sense to machine-learning models,https://news.mit.edu/2021/nonsense-can-make-sense-machine-learning-models-1215
227,From “cheetah-noids” to humanoids,https://news.mit.edu/2021/cheetah-noids-humanoids-benjamin-katz-1214
228,Machine learning speeds up vehicle routing,https://news.mit.edu/2021/machine-learning-speeds-vehicle-routing-1210
229,Machine-learning system flags remedies that might do more harm than good,https://news.mit.edu/2021/machine-learning-treatments-1209
230,A tool to speed development of new solar cells,https://news.mit.edu/2021/simulator-photovoltaic-cells-development-1209
231,Tiny machine learning design alleviates a bottleneck in memory usage on internet-of-things devices,https://news.mit.edu/2021/tiny-machine-learning-design-alleviates-bottleneck-memory-usage-iot-devices-1208
232,Machines that see the world more like humans do,https://news.mit.edu/2021/probablistic-programming-machine-vision-1208
233,Q&A: More-sustainable concrete with machine learning,https://news.mit.edu/2021/more-sustainable-concrete-machine-learning-1207
234,Technique enables real-time rendering of scenes in 3D,https://news.mit.edu/2021/3-d-image-rendering-1207
235,Generating a realistic 3D world,https://news.mit.edu/2021/generating-realistic-3d-world-1206
236,Taking some of the guesswork out of drug discovery,https://news.mit.edu/2021/model-predicts-3d-molecule-drugs-1206
237,Artificial intelligence that understands object relationships,https://news.mit.edu/2021/ai-object-relationships-image-generation-1129
238,"In MIT visit, Dropbox CEO Drew Houston ’05 explores the accelerated shift to distributed work",https://news.mit.edu/2021/dropbox-ceo-drew-houston-accelerated-shift-distributed-work-1122
239,Design’s new frontier,https://news.mit.edu/2021/design-new-frontier-1119
240,MIT Lincoln Laboratory wins nine R&D 100 Awards for 2021,https://news.mit.edu/2021/mit-lincoln-laboratory-wins-nine-rd-100-awards-1117
241,"Electrochemistry, from batteries to brains",https://news.mit.edu/2021/electrochemistry-batteries-brains-bilge-yildiz-1116
242,Dexterous robotic hands manipulate thousands of objects with ease,https://news.mit.edu/2021/dexterous-robotic-hands-manipulate-thousands-objects-1112
243,Toward speech recognition for uncommon spoken languages,https://news.mit.edu/2021/speech-recognition-uncommon-languages-1104
244,3 Questions: Blending computing with other disciplines at MIT,https://news.mit.edu/2021/3-questions-blending-computing-other-disciplines-common-ground-mit-1102
245,Taming the data deluge,https://news.mit.edu/2021/taming-data-deluge-1029
246,3 Questions: Investigating a long-standing neutrino mystery,https://news.mit.edu/2021/3-questions-investigating-long-standing-neutrino-mystery-1028
